state_abbrev,state_name,state_fips,office,dist,year,votes_r,votes_d,votes_2p,d2pshare,incumbency,cand_r,inc_r,cand_d,inc_d,votes_o,votes_total,party_o,cand_o,inc_o,win_party,notes_cq,votes_extra,votes_plurality,lag_d2pshare,dpres
IA,IOWA,19,G,,1994,566395,414453,980848,0.42254558,-1,"BRANSTAD, TERRY E.",Incumbent,"CAMPBELL, BONNIE J.",Challenger,,997248,N/A,N/A,N/A,R,,16400,151942,0.39061224,
IA,IOWA,19,G,,2014,666032,420787,1086819,0.38717303,-1,"BRANSTAD, TERRY E.",Incumbent,"HATCH, JACK",Challenger,20321,1129057,LIBERTARIAN,"HIEB, LEE",Challenger,R,"The other vote was: Hennager, Jim (New Independent) 10,582; Narcisse, Jonathan (Iowa) 10,240; Scattered Write-Ins (Write-in) 1,095",21917,245245,0.4500154,
IA,IOWA,19,G,,2018,667275,630986,1298261,0.48602399,-1,"REYNOLDS, KIM",Incumbent,"HUBBELL, FRED",Challenger,21426,1327638,LIBERTARIAN,"PORTER, JAKE",Challenger,R,"The other vote was: Siegwarth, Gary (Clear Water Party of Iowa) 7,463; Scattered Write-Ins (Write-in) 488",7951,36289,0.38717303,
IA,IOWA,19,G,,2022,709198,482950,1192148,0.40510911,-1,"REYNOLDS, KIM",Incumbent,"DEJEAR, DEIDRE",Challenger,28998,1221864,LIBERTARIAN,"STEWART, RICK",Challenger,R,The other vote was: Write-In (Write-in) 718,718,226248,0.48602399,
ID,IDAHO,16,G,,1958,121810,117236,239046,0.4904328,-1,"SMYLIE, ROBERT E.",Incumbent,"DERR, A. M.",Challenger,,239046,N/A,N/A,N/A,R,,,4574,0.45760325,
ID,IDAHO,16,G,,1962,139578,115876,255454,0.4536081,-1,"SMYLIE, ROBERT E.",Incumbent,"SMITH, VERNON K.",Challenger,,255454,N/A,N/A,N/A,R,,,23702,0.4904328,
ID,IDAHO,16,G,,1970,117108,128004,245112,0.52222657,-1,"SAMUELSON, DON",Incumbent,"ANDRUS, CECIL D.",Challenger,,245112,N/A,N/A,N/A,D,,,10896,0.47266677,
ID,IDAHO,16,G,,2002,231566,171711,403277,0.42578921,-1,"KEMPTHORNE, DIRK",Incumbent,"BRADY, JERRY M.",Challenger,,411477,N/A,N/A,N/A,R,,8200,59855,0.30038491,
ID,IDAHO,16,G,,2010,267483,148680,416163,0.35726386,-1,"OTTER, C. L.",Incumbent,"ALLRED, KEITH",Challenger,26655,452535,INDEPENDENT,"KEMP, JANA M.",Challenger,R,"The other vote was: Dunlap, Ted (Libertarian) 5,867; Pro-Life (Independent) 3,850",9717,118803,0.45577171,
ID,IDAHO,16,G,,2014,235405,169556,404961,0.41869712,-1,"OTTER, C. L.",Incumbent,"BALUKOFF, A.J.",Challenger,17884,439830,LIBERTARIAN,"BUJAK, JOHN T.",Challenger,R,"The other vote was: Humble, Jill (Independent) 8,801; Pankey, Steven D. (Constitution) 5,219; Pro-Life (Independent) 2,870; Scattered Write-Ins (Write-in) 95",16985,65849,0.35726386,
ID,IDAHO,16,G,,2022,358598,120160,478758,0.25098276,-1,"LITTLE, BRAD",Incumbent,"HEIDT, STEPHEN",Challenger,101835,592624,INDEPENDENT,"BUNDY, AMMON",Challenger,R,"The other vote was: Sand, Paul (Libertarian) 6,714; Davison, Chantyrose (Constitution) 5,250; Write-In (Write-in) 67",12031,238438,0.38985088,
IL,ILLINOIS,17,G,,1956,2171786,2134909,4306695,0.49571863,-1,"STRATTON, WILLIAM G.",Incumbent,"AUSTIN, RICHARD B.",Challenger,,4314611,N/A,N/A,N/A,R,,7916,36877,0.47417316,
IL,ILLINOIS,17,G,,1960,2070479,2594731,4665210,0.55618739,-1,"STRATTON, WILLIAM G.",Incumbent,"KERNER, OTTO",Challenger,,4674187,N/A,N/A,N/A,D,,8977,524252,0.49571863,
IL,ILLINOIS,17,G,,1972,2293809,2371301,4665110,0.50830549,-1,"OGILVIE, RICHARD B.",Incumbent,"WALKER, DANIEL",Challenger,,4678802,N/A,N/A,N/A,D,,13692,77492,0.48575887,
IL,ILLINOIS,17,G,,1978,1859684,1263134,3122818,0.40448532,-1,"THOMPSON, JAMES R.",Incumbent,"BAKALIS, MICHAEL",Challenger,,3150095,N/A,N/A,N/A,R,,27277,596550,0.34878555,
IL,ILLINOIS,17,G,,1982,1816101,1811027,3627128,0.49930054,-1,"THOMPSON, JAMES R.",Incumbent,"STEVENSON, ADLAI E. II",Challenger,,3673681,N/A,N/A,N/A,R,,46553,5074,0.40448532,
IL,ILLINOIS,17,G,,1986,1655849,208830,1864679,0.11199246,-1,"THOMPSON, JAMES R.",Incumbent,"FAIRCHILD, MARK",Challenger,1256626,3143978,ILLINOIS SOLIDARITY,"STEVENSON, ADLAI E. II",Challenger,R,"There was no Democratic candidate for Governor on the ballot, Mark Fairchild being the ""paired"" Democrat for Lt. Governor.  The Democratic vote was cast for the ticket of ""no name"" and Fairchild.; The other vote was: Scattered Write-Ins (Other) 22,673",22673,399223,0.49930054,
IL,ILLINOIS,17,G,,1994,1984318,1069850,3054168,0.35029179,-1,"EDGAR, JIM",Incumbent,"NETSCH, DAWN C.",Challenger,,3106566,N/A,N/A,N/A,R,,52398,914468,0.48698014,
IL,ILLINOIS,17,G,,2018,1765751,2479746,4245497,0.5840885,-1,"RAUNER, BRUCE",Incumbent,"PRITZKER, JAY",Challenger,192527,4547657,CONSERVATIVE,"MCCANN, WILLIAM",Challenger,D,"The other vote was: Jackson, Grayson Kash (Libertarian) 109,518; Foster, Nancy (Write-in) 32; Ryan, Kevin D. (Write-in) 20; 753, JO (Write-in) 16; Scruggs, Michael W. (Write-in) 15; Moore, Greg (Write-in) 13; Canfield, Robert (Write-in) 12; Kuna, Thomas J. (Write-in) 4; Tholin, David (Write-in) 3",109633,713995,0.47970253,
IN,INDIANA,18,G,,1976,1236555,927243,2163798,0.42852569,-1,"BOWEN, OTIS R.",Incumbent,"CONRAD, LARRY A.",Challenger,,2175324,N/A,N/A,N/A,R,,11526,309312,0.42790934,
IN,INDIANA,18,G,,1984,1146497,1036922,2183419,0.47490749,-1,"ORR, ROBERT D.",Incumbent,"TOWNSEND, W. WAYNE",Challenger,,2197988,N/A,N/A,N/A,R,,14569,109575,0.42069405,
IN,INDIANA,18,G,,2008,1563885,1082463,2646348,0.4090403,-1,"DANIELS, MITCH",Incumbent,"THOMPSON, JILL LONG",Challenger,,2703752,N/A,N/A,N/A,R,,57404,481422,0.46089643,
IN,INDIANA,18,G,,2020,1706727,968094,2674821,0.36192852,-1,"HOLCOMB, ERIC",Incumbent,"MYERS, WOODROW A. JR.",Challenger,345567,3020388,LIBERTARIAN,"RAINWATER, DONALD G. II",Challenger,R,,,738633,0.46925575,
KS,KANSAS,20,G,,1952,491338,363482,854820,0.42521468,-1,"ARN, EDWARD F.",Incumbent,"ROONEY, CHARLES",Challenger,,872139,N/A,N/A,N/A,R,,17319,127856,0.45274654,
KS,KANSAS,20,G,,1962,341257,291285,632542,0.46049908,-1,"ANDERSON, JOHN JR.",Incumbent,"SAFFELS, DALE E.",Challenger,,638798,N/A,N/A,N/A,R,,6256,49972,0.44020924,
KS,KANSAS,20,G,,1966,304325,380030,684355,0.5553112,-1,"AVERY, WILLIAM H.",Incumbent,"DOCKING, ROBERT",Challenger,,692955,N/A,N/A,N/A,D,,8600,75705,0.4805488,
KS,KANSAS,20,G,,1978,348015,363835,711850,0.51111192,-1,"BENNETT, ROBERT F.",Incumbent,"CARLIN, JOHN",Challenger,,736246,N/A,N/A,N/A,D,,24396,15820,0.49761823,
KS,KANSAS,20,G,,1990,333589,380609,714198,0.53291804,-1,"HAYDEN, MIKE",Incumbent,"FINNEY, JOAN",Challenger,,783325,N/A,N/A,N/A,D,,69127,47020,0.48100832,
KS,KANSAS,20,G,,1998,544882,168243,713125,0.23592357,-1,"GRAVES, BILL",Incumbent,"SAWYER, TOM",Challenger,,742665,N/A,N/A,N/A,R,,29540,376639,0.35906005,
KS,KANSAS,20,G,,2014,433196,401100,834296,0.48076463,-1,"BROWNBACK, SAM",Incumbent,"DAVIS, PAUL",Challenger,35206,869502,LIBERTARIAN,"UMBEHR, KEEN A.",Challenger,R,,,32096,0.33731705,
KY,KENTUCKY,21,G,,2007,435773,619552,1055325,0.58707225,-1,"FLETCHER, ERNEST",Incumbent,"BESHEAR, STEVEN L.",Challenger,,1055325,N/A,N/A,N/A,D,,,183779,0.44963971,
KY,KENTUCKY,21,G,,2019,704754,709890,1414644,0.50181532,-1,"BEVIN, MATT G.",Incumbent,"BESHEAR, ANDY",Challenger,28433,1443123,LIBERTARIAN,"HICKS, JOHN",Challenger,D,"The other vote was: Whyte, Blackii Effing (Write-in) 46",46,5136,0.45482168,
MA,MASSACHUSETTS,25,G,,1954,985339,910087,1895426,0.48014906,-1,"HERTER, CHRISTIAN A.",Incumbent,"MURPHY, ROBERT F.",Challenger,,1903774,N/A,N/A,N/A,R,,8348,75252,0.49690774,
MA,MASSACHUSETTS,25,G,,1962,1047891,1053322,2101213,0.50129235,-1,"VOLPE, JOHN A.",Incumbent,"PEABODY, ENDICOTT",Challenger,,2109089,N/A,N/A,N/A,D,,7876,5431,0.47115022,
MA,MASSACHUSETTS,25,G,,1966,1277358,752720,2030078,0.37078378,-1,"VOLPE, JOHN A.",Incumbent,"MCCORMACK, EDWARD J.",Challenger,,2041177,N/A,N/A,N/A,R,,11099,524638,0.49505424,
MA,MASSACHUSETTS,25,G,,1970,1058623,799269,1857892,0.43020207,-1,"SARGENT, FRANCIS W.",Incumbent,"WHITE, KEVIN H.",Challenger,,1867906,N/A,N/A,N/A,R,,10014,259354,0.37078378,
MA,MASSACHUSETTS,25,G,,1974,784353,992284,1776637,0.55851817,-1,"SARGENT, FRANCIS W.",Incumbent,"DUKAKIS, MICHAEL S.",Challenger,,1854798,N/A,N/A,N/A,D,,78161,207931,0.43020207,
MA,MASSACHUSETTS,25,G,,1994,1610298,636138,2246436,0.28317654,-1,"WELD, WILLIAM F.",Incumbent,"ROOSEVELT, MARK",Challenger,,2266307,N/A,N/A,N/A,R,,19871,974160,0.4833152,
MA,MASSACHUSETTS,25,G,,1998,967160,901843,1869003,0.48252624,-1,"CELLUCCI, ARGEO PAUL",Incumbent,"HARSHBARGER, SCOTT",Challenger,,1903336,N/A,N/A,N/A,R,,34333,65317,0.28317654,
MA,MASSACHUSETTS,25,G,,2018,1781341,885770,2667111,0.33210841,-1,"BAKER, CHARLES D.",Incumbent,"GONZALEZ, JAY",Challenger,7504,2674615,WRITE-IN,SCATTERED WRITE-INS,Challenger,R,,,895571,0.49019879,
MD,MARYLAND,24,G,,1954,381451,319033,700484,0.45544651,-1,"MCKELDIN, THEODORE R.",Incumbent,"BYRD, HARRY CLIFTON",Challenger,,700484,N/A,N/A,N/A,R,,,62418,0.42721617,
MD,MARYLAND,24,G,,2006,825464,942279,1767743,0.5330407,-1,"EHRLICH, ROBERT L. JR.",Incumbent,"O'MALLEY, MARTIN",Challenger,,1788316,N/A,N/A,N/A,D,,20573,116815,0.48045793,
MD,MARYLAND,24,G,,2018,1275644,1002639,2278283,0.44008535,-1,"HOGAN, LARRY",Incumbent,"JEALOUS, BEN",Challenger,13241,2304512,LIBERTARIAN,"QUINN, SHAWN",Challenger,R,"The other vote was: Schlakman, Ian Andrew (Green) 11,175; Scattered Write-Ins (Write-in) 1,813",12988,273005,0.48076957,
ME,MAINE,23,G,,1950,145823,94304,240127,0.39272553,-1,"PAYNE, FREDERICK G.",Incumbent,"GRANT, EARLE S.",Challenger,,241177,N/A,N/A,N/A,R,,1050,51519,,
ME,MAINE,23,G,,1954,113298,135673,248971,0.54493493,-1,"CROSS, BURTON M.",Incumbent,"MUSKIE, EDMUND S.",Challenger,,248971,N/A,N/A,N/A,D,,,22375,0.39104563,
